Turn,Current_Player,Num_Turns,Resource_Bank,Dev_Card_Bank,Actions_Taken,RED_VP,RED_Settlements,RED_Cities,RED_Roads,RED_Dev_Cards,RED_Class,BLUE_VP,BLUE_Settlements,BLUE_Cities,BLUE_Roads,BLUE_Dev_Cards,BLUE_Class,Num_Players,Winner,Game_ID
932,RED,380,"[17, 18, 18, 17, 18]",16,932,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
933,RED,380,"[17, 18, 18, 16, 18]",16,933,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
934,BLUE,381,"[17, 18, 18, 16, 18]",16,934,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
935,BLUE,381,"[17, 18, 18, 16, 18]",16,935,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
936,BLUE,381,"[17, 18, 18, 16, 18]",16,936,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
937,RED,382,"[17, 18, 18, 16, 18]",16,937,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
938,RED,382,"[17, 18, 18, 16, 18]",16,938,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
939,BLUE,383,"[17, 18, 18, 16, 18]",16,939,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
940,BLUE,383,"[16, 18, 18, 16, 18]",16,940,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
941,RED,384,"[16, 18, 18, 16, 18]",16,941,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
942,RED,384,"[16, 18, 18, 16, 18]",16,942,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
943,BLUE,385,"[16, 18, 18, 16, 18]",16,943,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
944,BLUE,385,"[16, 18, 18, 15, 18]",16,944,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
945,RED,386,"[16, 18, 18, 15, 18]",16,945,3,2,0,13,1,RandomPlayer,6,3,0,10,1,RandomPlayer,2,RED,1
